id,platform,content,createdAt,permalink,reactionsCount,sharesCount,commentsCount,category
1447418488835258_1160585116068913,Facebook,"🌸🎉📣ข่าวดี สำหรับบุคลากร มหาวิทยาลัยมหิดล 
ท่านสามารถใช้งานระบบจัดเก็บข้อมูล Kanpai💻  https://kanpai.mahidol.ac.th พร้อมรับพื้นที่จัดเก็บข้อมูลบน OneDrive on Premise ฟรี 5 GB !!! เพียง Log In ด้วย   Internet Account ของมหาวิทยาลัยมหิดล  🖥👨‍💻
- สามารถจัดเก็บไฟล์ข้อมูล แชร์เอกสาร และทำงานร่วมกันได้แบบ Realtime
- พื้นที่เก็บข้อมูล (เฉพาะบุคคล)  5 GB
- สร้างและแก้ไขไฟล์ Microsoft Office เช่น Word, Excel, PowerPoint, OneNote ได้
-เข้าถึง OneDrive ได้ทุกอุปกรณ์  ทำให้การเข้าถึงมีความสะดวกและเพิ่มความคล่องตัวในการทำงาน
📱หากท่านมีข้อสงสัยติดต่อได้ที่ : HelpDesk : 0 2849 6228",2024-12-11 08:46:35,https://www.facebook.com/1441935884600500/posts/1160585116068913,28,27,0,Promotions&Special deals
1447418488835258_1164431302350961,Facebook,"📢 ประกาศ ""การสิ้นสุดอายุการใช้งานสำหรับ Webex Application 32 bit บน Windows"" ตั้งแต่วันที่ 10 ธันวาคม 2567",2024-12-16 07:47:27,https://www.facebook.com/1441935884600500/posts/1164431302350961,19,22,0,Systemic Annoucements
1447418488835258_1167360005391424,Facebook,"📣✨เปิดให้ลงทะเบียนแล้ววันนี้ - 20 มกราคม 2568 กับการอบรมเชิงปฏิบัติการการใช้งานโปรแกรม MATLAB รุ่น 1 หลักสูตร “Updated R2024b MATLAB Fundamental” 

🔰โดยวิทยากรอาจารย์กัณฐิกา วงษ์เกษม จากบริษัท แอสเซนดาส ซิสเทมส์ จำกัด

🗓️จัดขึ้นในวันอังคารที่ 28 มกราคม 2568
🕤 เวลา 09.30 - 16.00 น.
📍ห้องอบรม(Training Room) ชั้น 1 กองเทคโนโลยีสารสนเทศ มหาวิทยาลัยมหิดล

👨🏻‍💻👩🏻‍💻สำหรับคณาจารย์ บุคลากร และนักศึกษา มหาวิทยาลัยมหิดล 
👉🏻 https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d0AjW

📱ติดต่อสอบถามเพิ่มเติมได้ที่กองเทคโนโลยีสารสนเทศ โทร.0-2849-6022",2024-12-20 01:51:31,https://www.facebook.com/1441935884600500/posts/1167360005391424,5,3,0,Events
1447418488835258_1167505955376829,Facebook,"📣📣🎊การอบรมเชิงปฏิบัติการ การใช้งานโปรแกรม SPSS (เวอร์ชัน 29) ""SPSS Statistics Standard Training"" แบบ Onsite Training ✍🏻

🔰โดยวิทยากรผู้เชี่ยวชาญจากภายนอก
🗓️วันพฤหัสบดีที่ 13 กุมภาพันธ์ 2568 
🕘เวลา 09.00 - 17.00 น.

✅เปิดให้ลงทะเบียนอบรมได้ตั้งแต่บัดนี้ ถึง วันที่ 31 มกราคม 2568
👉🏻 https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d0UVV

👩🏻‍💻👨🏻‍💻อาจารย์ บุคลากร และนักศึกษามหาวิทยาลัยมหิดล

📍ห้องอบรม (Training Room) กองเทคโนโลยีสารสนเทศชั้น 1 สำนักงานอธิการบดี มหาวิทยาลัยมหิดล ศาลายา

📱ติดต่อสอบถามเพิ่มเติมได้ที่ กองเทคโนโลยีสารสนเทศ โทร 0-2849-6022",2024-12-20 06:54:23,https://www.facebook.com/1441935884600500/posts/1167505955376829,20,18,0,Events
1447418488835258_1167684775358947,Facebook,📢 รู้ยัง...Webex สามารถใช้งานคุณภาพวิดีโอแบบ Resolution 1080p (Full HD) ได้แล้ว 🔥🔥🔥,2024-12-20 12:25:12,https://www.facebook.com/1441935884600500/posts/1167684775358947,14,10,0,Systemic Annoucements
1447418488835258_1172041574923267,Facebook,ประชุมออนไลน์ผ่าน Webex กลัวโดนแคปหน้าจอ ก็ใช้ Visual Watermarks ไปเลยรออะไร 😎👍,2024-12-26 08:38:36,https://www.facebook.com/1441935884600500/posts/1172041574923267,16,10,0,Guides
1447418488835258_1185597260234365,Facebook,"📣 การอบรมเชิงปฏิบัติการ การใช้งานระบบจัดเก็บข้อมูล KANPAI (https://kanpai.mahidol.ac.th)📣

ขอเชิญชวนบุคลากรมหาวิทยาลัยมหิดลเข้าร่วมอบรมเพื่อให้มีความเข้าใจ และสามารถใช้งานระบบจัดเก็บข้อมูล KANPAI ได้อย่างปลอดภัย โดยวิทยากร : คุณอามาล มหามะ จาก บริษัท ดีไทย โปรเฟสชันนัล เซอร์วิส จำกัด 👨‍💻

📅 วันอังคาร ที่ 18 กุมภาพันธ์ 2568 เวลา 09.30 - 15.15 น.

⚡⚡เปิดให้ลงทะเบียนอบรมตั้งแต่วันนี้ - 5 กุมภาพันธ์ 2568⚡⚡
🖥️ 𝙊𝙣𝙨𝙞𝙩𝙚 𝙏𝙧𝙖𝙞𝙣𝙞𝙣𝙜
https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d0ADZ
📍ณ ห้องอบรม (Training Room) กองเทคโนโลยีสารสนเทศ ชั้น 1 สำนักงานอธิการบดี มหาวิทยาลัยมหิดล ศาลายา
🔥 จำกัดจำนวน 40 ท่าน

🌐 𝙊𝙣𝙡𝙞𝙣𝙚 𝙏𝙧𝙖𝙞𝙣𝙞𝙣𝙜
https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d4UVU
📍Webex
🔥จำกัดจำนวน 300 ท่าน

📞 ติดต่อสอบถามเพิ่มเติมได้ที่ กองเทคโนโลยีสารสนเทศ มหาวิทยาลัยมหิดล 0-2849-6022",2025-01-13 03:32:49,https://www.facebook.com/1441935884600500/posts/1185597260234365,18,20,0,Events
1447418488835258_1187138180080273,Facebook,"📌📌กอง IT......งดติดต่องานชั่วคราว ในวันพุธที่ 15 มกราคม 2568 เวลา 13.00 - 18.00 น. และ วันพฤหัสบดีที่ 16 มกราคม 2568 เวลา 08.00 - 18.00 น.
🎊เนื่องจากทำบุญถวายภัตตาหารเพลและกิจกรรมสังสรรค์ปีใหม่ 2568
****🙏ขออภัยในความไม่สะดวก🙏****
💥หากมีปัญหาเร่งด่วน👉 ติดต่อได้ที่  0-2849-6022",2025-01-15 03:58:43,https://www.facebook.com/1441935884600500/posts/1187138180080273,9,0,0,Systemic Annoucements
1447418488835258_1188697806590977,Facebook,"ข่าวดี ❗ขยายเวลารับสมัครการอบรมเชิงปฏิบัติการ การใช้งานโปรแกรม MATLAB รุ่น 1

🗓️ ตั้งแต่วันนี้ - 22 มกราคม 2568
👉 ลงทะเบียน : https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d0AjW",2025-01-17 04:42:07,https://www.facebook.com/1441935884600500/posts/1188697806590977,0,1,0,Systemic Annoucements
1447418488835258_1188772099916881,Facebook,"เนื่องจากมีผู้สมัครสนใจเข้าร่วมการอบรมเป็นจำนวนมาก จึงเพิ่มจำนวนที่นั่งในส่วนของ Online Training จากเดิม 300 คน เป็น 800 คน ✨

🗓️ ลงทะเบียนได้ตั้งแต่วันนี้ - 5 กุมภาพันธ์ 2568
👉 Online Training : https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d4UVU
👉 Onsite Training : https://muhr.mahidol.ac.th/Registration/project/detail_p.php?p=8kUVd1d0ADZ",2025-01-17 07:16:40,https://www.facebook.com/1441935884600500/posts/1188772099916881,21,2,0,Systemic Annoucements
